"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="3563","牧德","市","04/03","","396","-4.5","-1.12","1,467","577","400.5","401","401","387","3.5","48.2","4.52","    ","    ","    ","    ","    "
="3583","辛耘","市","04/03","","380.5","+33.5","+9.65","23,439","8,592","347","346","381.5","341","11.7","47","7.66","    ","    ","    ","    ","    "
="3592","瑞鼎","市","04/03","","480","-6.5","-1.34","305","147","486.5","481","487","478","1.85","25.2","3.25","    ","    ","    ","    ","    "
="3596","智易","市","04/03","","192.5","-2.5","-1.28","911","175","195","192.5","195","190.5","2.31","17.5","2.87","    ","    ","    ","    ","    "
="3617","碩天","市","04/03","","243","-9","-3.57","2,014","497","252","251","254.5","241.5","5.16","14.7","3.03","    ","    ","    ","    ","    "
="3622","洋華","市","04/03","","66.4","-2.2","-3.21","4,160","279","68.6","67.7","68.1","66.4","2.48","17.7","1.53","    ","    ","    ","    ","    "
="3653","健策","市","04/03","","930","+37","+4.14","1,523","1,409","893","895","936","890","5.15","56.1","11.4","    ","    ","    ","    ","    "
="3661","世芯-KY","市","04/03","","3385","-15","-0.44","1,094","3,699","3400","3340","3415","3330","2.5","74.4","14","    ","    ","    ","    ","    "
="3665","貿聯-KY","市","04/03","","256.5","0","0","405","104","256.5","254.5","259","254","1.95","17.8","1.7","    ","    ","    ","    ","    "
="3673","TPK-KY","市","04/03","","39.1","+0.5","+1.3","7,049","277","38.6","38.8","39.85","38.75","2.85","76.7","0.43","    ","    ","    ","    ","    "
="3694","海華","市","04/03","","53.4","+0.3","+0.56","1,981","106","53.1","53","54.2","52.6","3.01","24.5","2.76","    ","    ","    ","    ","    "
="3701","大眾控","市","04/03","","59.4","-0.6","-1","423","25.2","60","60.5","60.5","59.3","2","39.9","3.28","    ","    ","    ","    ","    "
="3702","大聯大","市","04/03","","91.7","-1.3","-1.4","4,342","400","93","92.3","93.2","91.6","1.72","20","2.06","    ","    ","    ","    ","    "
="3704","合勤控","市","04/03","","47.6","+0.9","+1.93","3,211","151","46.7","46.45","47.6","46.15","3.1","14.1","1.75","    ","    ","    ","    ","    "
="3706","神達","市","04/03","","50","-0.1","-0.2","18,230","909","50.1","49.85","50.6","49.2","2.79","33.8","0.98","    ","    ","    ","    ","    "
="3708","上緯投控","市","04/03","","125","-4.5","-3.47","3,456","437","129.5","130","131","124","5.41","9.7","1.66","    ","    ","    ","    ","    "
="3711","日月光投控","市","04/03","","154.5","+1","+0.65","14,632","2,248","153.5","154","155","152","1.95","20.9","2.24","    ","    ","    ","    ","    "
="3712","永崴投控","市","04/03","","43.65","+0.1","+0.23","1,105","48.2","43.55","43.55","43.85","43.2","1.49","18.9","1.26","    ","    ","    ","    ","    "
="3715","定穎投控","市","04/03","","79.8","+2.1","+2.7","29,867","2,373","77.7","76.3","81.5","75.9","7.21","22.1","3.28","    ","    ","    ","    ","    "
="4119","旭富","市","04/03","","87.8","-0.8","-0.9","163","14.4","88.6","88.5","88.5","87.8","0.79","32.5","2.06","    ","    ","    ","    ","    "
="4137","麗豐-KY","市","04/03","","202.5","-1","-0.49","62","12.5","203.5","203.5","203.5","202","0.74","15.5","3.13","    ","    ","    ","    ","    "
="4142","國光生","市","04/03","","26.45","-0.15","-0.56","489","13","26.6","26.6","26.7","26.4","1.13","","2.04","    ","    ","    ","    ","    "
="4164","承業醫","市","04/03","","60.6","+0.6","+1","772","46.6","60","60.1","61.4","59.4","3.33","23.8","1.56","    ","    ","    ","    ","    "
="4306","炎洲","市","04/03","","18.8","+0.05","+0.27","2,237","42","18.75","18.8","18.9","18.65","1.33","14.5","0.98","    ","    ","    ","    ","    "
="4532","瑞智","市","04/03","","24.9","-0.05","-0.2","1,469","36.6","24.95","24.95","25","24.7","1.2","16.6","1.29","    ","    ","    ","    ","    "
="4536","拓凱","市","04/03","","192.5","-2","-1.03","85","16.4","194.5","194.5","195","192.5","1.29","12.4","2.18","    ","    ","    ","    ","    "
="4551","智伸科","市","04/03","","107.5","0","0","64","6.85","107.5","107","108","107","0.93","24","1.56","    ","    ","    ","    ","    "
="4736","泰博","市","04/03","","154","+0.5","+0.33","103","15.8","153.5","153","154.5","153","0.98","14.4","1.65","    ","    ","    ","    ","    "
="4739","康普","市","04/03","","64.9","0","0","328","21.1","64.9","64.9","65.2","63.7","2.31","","1.4","    ","    ","    ","    ","    "
="4746","台耀","市","04/03","","116.5","+6.5","+5.91","5,764","661","110","110.5","119","110","8.18","111","1.85","    ","    ","    ","    ","    "
="4755","三福化","市","04/03","","157.5","-2.5","-1.56","435","68.6","160","158","159","157","1.25","35.7","3.59","    ","    ","    ","    ","    "
="4763","材料-KY","市","04/03","","965","+14","+1.47","3,157","3,044","951","949","994","936","6.1","15.4","8.13","    ","    ","    ","    ","    "
="4766","南寶","市","04/03","","320","+7.5","+2.4","838","267","312.5","312.5","322","308.5","4.32","15.9","2.93","    ","    ","    ","    ","    "
="4770","上品","市","04/03","","421","-2","-0.47","285","120","423","422","423.5","417.5","1.42","19.8","4.51","    ","    ","    ","    ","    "
="4904","遠傳","市","04/03","","80.6","-0.8","-0.98","5,198","421","81.4","81.2","81.6","80.6","1.23","23.6","3.23","    ","    ","    ","    ","    "
="4906","正文","市","04/03","","33.95","-0.15","-0.44","3,630","123","34.1","34.1","34.1","33.8","0.88","21.9","1.07","    ","    ","    ","    ","    "
="4912","聯德控股-KY","市","04/03","","126","-4.5","-3.45","655","83.7","130.5","129","130.5","125.5","3.83","30.1","2.29","    ","    ","    ","    ","    "
="4915","致伸","市","04/03","","83","+0.3","+0.36","4,177","346","82.7","82.2","83.5","81.5","2.42","15.1","2.26","    ","    ","    ","    ","    "
="4919","新唐","市","04/03","","127","+0.5","+0.4","1,586","201","126.5","126.5","127.5","125","1.98","22","3.19","    ","    ","    ","    ","    "
="4934","太極","市","04/03","","24.3","-0.3","-1.22","664","16.2","24.6","24.35","24.7","24.25","1.83","","2.59","    ","    ","    ","    ","    "
="4938","和碩","市","04/03","","97.4","-0.9","-0.92","10,526","1,030","98.3","98","98.8","97.2","1.63","16.5","1.37","    ","    ","    ","    ","    "
="4958","臻鼎-KY","市","04/03","","129.5","-2.5","-1.89","20,836","2,726","132","130","133.5","128.5","3.79","19.8","1.28","    ","    ","    ","    ","    "
="4961","天鈺","市","04/03","","268.5","-9","-3.24","5,016","1,365","277.5","280","281.5","268.5","4.68","20.2","1.88","    ","    ","    ","    ","    "
