"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="2352","佳世達","市","04/03","","43.25","+0.15","+0.35","6,880","296","43.1","43.05","43.25","42.65","1.39","28.6","2.3","    ","    ","    ","    ","    "
="2353","宏碁","市","04/03","","46.1","-0.6","-1.28","19,545","903","46.7","46.3","46.6","45.9","1.5","28.1","1.85","    ","    ","    ","    ","    "
="2354","鴻準","市","04/03","","64","-0.9","-1.39","26,865","1,709","64.9","63.6","64.2","63","1.85","21.3","0.86","    ","    ","    ","    ","    "
="2355","敬鵬","市","04/03","","47.7","+0.35","+0.74","5,271","252","47.35","47","48.35","46.6","3.7","24.8","1.18","    ","    ","    ","    ","    "
="2356","英業達","市","04/03","","59.2","+0.2","+0.34","45,999","2,726","59","58.2","60.1","58","3.56","34.6","3.47","    ","    ","    ","    ","    "
="2357","華碩","市","04/03","","422.5","-0.5","-0.12","2,544","1,075","423","420.5","425.5","419.5","1.42","19.7","1.31","    ","    ","    ","    ","    "
="2360","致茂","市","04/03","","254","-2","-0.78","831","210","256","253.5","255.5","250.5","1.95","26.9","4.9","    ","    ","    ","    ","    "
="2368","金像電","市","04/03","","241","+7","+2.99","7,064","1,683","234","234","241","233","3.42","33.2","6.97","    ","    ","    ","    ","    "
="2371","大同","市","04/03","","55.8","-1.1","-1.93","29,337","1,647","56.9","56.3","57","55.6","2.46","49.4","2.36","    ","    ","    ","    ","    "
="2376","技嘉","市","04/03","","317.5","+0.5","+0.16","15,454","4,876","317","314","321","311","3.15","42.6","5.39","    ","    ","    ","    ","    "
="2377","微星","市","04/03","","169.5","-0.5","-0.29","2,561","435","170","170","171","169","1.18","19","2.85","    ","    ","    ","    ","    "
="2379","瑞昱","市","04/03","","571","+3","+0.53","3,261","1,859","568","573","577","564","2.29","32","6.93","    ","    ","    ","    ","    "
="2382","廣達","市","04/03","","293.5","-4.5","-1.51","54,178","15,865","298","294.5","295.5","289.5","2.01","28.5","6.08","    ","    ","    ","    ","    "
="2383","台光電","市","04/03","","410.5","+10","+2.5","7,370","3,041","400.5","402","419.5","400.5","4.74","25.1","5.25","    ","    ","    ","    ","    "
="2388","威盛","市","04/03","","129.5","0","0","2,732","354","129.5","128.5","131","128","2.32","158","4.87","    ","    ","    ","    ","    "
="2392","正崴","市","04/03","","46.35","-0.65","-1.38","1,867","86.7","47","46.55","46.8","46.05","1.6","15","0.89","    ","    ","    ","    ","    "
="2393","億光","市","04/03","","55","+0.6","+1.1","2,685","147","54.4","54.2","55.1","54.2","1.65","16.6","1.31","    ","    ","    ","    ","    "
="2401","凌陽","市","04/03","","27.95","-0.05","-0.18","1,293","36.2","28","28","28.25","27.8","1.61","","1.94","    ","    ","    ","    ","    "
="2404","漢唐","市","04/03","","398","-8.5","-2.09","2,500","999","406.5","401","403.5","395","2.09","16","6.16","    ","    ","    ","    ","    "
="2408","南亞科","市","04/03","","68.2","-0.9","-1.3","12,332","839","69.1","68.6","68.7","67.6","1.59","","1.27","    ","    ","    ","    ","    "
="2409","友達","市","04/03","","17.7","-0.35","-1.94","36,156","642","18.05","18","18","17.65","1.94","","0.85","    ","    ","    ","    ","    "
